Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
23;0;;;35/42;1;Externo;360406;PANETTONE CHOC. C/COB. DE AMENDOAS 1K CX C/6;PANETTONE;PANETTONE CHOCOLATE;CX;522,00;0,00;N;;;6;360406;;87,0000;;;P ACAB - 5014;PANETTONE CHOC. C/COB. DE AMENDOAS 1K CX C/6
23;0;0;C;35/42;1;Externo;266701;PANETTONE CHOCOLATE CF 1K;CASA FORTUNATO;Panettones Casa Fortunato;UN;33,97;0,00;N;;;1;266701;2667;33,9700;7898707290281;;P ACAB - 22328;PANETTONE CHOCOLATE CF 1K
;;;;35/42;1;Externo;266706;PANETTONE CHOCOLATE CF 1K CX C/6;PANETTONE;PANETTONE CHOCOLATE;CX;203,82;0,00;N;;;6;266706;;33,9700;;;P ACAB - 22328;PANETTONE CHOCOLATE CF 1K CX C/6
0;0;0;C;35/42;1;Externo;9075501;PANETTONE CHOCOLATE E DAMASCO 100G CF;CASA FORTUNATO;Panettones Casa Fortunato;UN;1,79;0,00;N;;;0,1;9075501;90755;1,7900;7898707290755;;;PANETTONE CHOCOLATE E DAMASCO 100G CF
;;;;35/42;1;Externo;9057108;PANETTONE CHOCOLATE E DAMASCO 700G C.F. CX C/8;CASA FORTUNATO;Panettones Casa Fortunato;CX;250,32;0,00;N;;;5,6;9057108;;31,2900;;;P ACAB - 22335;PANETTONE CHOCOLATE E DAMASCO 700G C.F. CX C/8
0;0;0;C;35/42;1;Externo;9057101;PANETTONE CHOCOLATE E DAMASCO 700G CF;CASA FORTUNATO;Panettones Casa Fortunato;UN;31,29;0,00;N;;;0,7;9057101;90571;31,2900;7898707290571;;P ACAB - 22335;PANETTONE CHOCOLATE E DAMASCO 700G CF
23;0;;;35/42;1;Externo;891301;PANETTONE FRUTAS 100G;PANETTONE;PANETTONE FRUTAS;UN;1,69;0,00;N;;;0,1;891301;8913;1,6900;7896207803994;;P ACAB - 5001;PANETTONE FRUTAS 100G
23;0;0;C;35/42;1;Externo;265001;PANETTONE FRUTAS CF 1K;CASA FORTUNATO;Panettones Casa Fortunato;UN;33,97;0,00;N;;;1;265001;2650;33,9700;7898707290274;;P ACAB - 22327;PANETTONE FRUTAS CF 1K
;;;;35/42;1;Externo;265006;PANETTONE FRUTAS CF 1K CX C/6;PANETTONE;PANETTONE FRUTAS;CX;203,82;0,00;N;;;6;265006;;33,9700;;;P ACAB - 22327;PANETTONE FRUTAS CF 1K CX C/6
23;0;;;35/42;1;Externo;361101;PANETTONE FRUTAS, PASSAS, DAMASCO COB AMENDOAS 1K;PANETTONE;PANETTONE FRUTAS;UN;39,64;0,00;N;;;1;361101;3611;39,6400;7896207803611;;P ACAB - 5013;PANETTONE FRUTAS, PASSAS, DAMASCO COB AMENDOAS 1K
23;0;;;35/42;1;Externo;361106;PANETTONE FRUTAS,PASSAS,DAM. C/COB.AMEND 1K CX C/6;PANETTONE;PANETTONE FRUTAS;CX;237,84;0,00;N;;;6;361106;;39,6400;;;P ACAB - 5013;PANETTONE FRUTAS,PASSAS,DAM. C/COB.AMEND 1K CX C/6
23;0;;;35/42;1;Externo;243001;PAO TIPO SUECO GERGELIM 180G;PAO SUECO;PAO SUECO GERGELIM;UN;9,15;588,00;;;;0,18;243001;2430;9,1500;7896207802430;;P ACAB - 9007;PAO TIPO SUECO GERGELIM 180G
